timestamp,pair,event,price,version,metrics_json
2025-12-14T06:01:21.955419+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00023456169036807618, ""long_vol"": 0.00017262350468904008, ""ratio"": 1.358805052594721, ""rolling_mean"": 3112.2011666666667, ""rolling_std"": 1.2567244100986497, ""history_length"": 60}"
2025-12-14T06:01:33.884909+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 7.568373187305351e-05, ""long_vol"": 6.997593404426569e-05, ""ratio"": 1.0815680120136326, ""rolling_mean"": 90172.37066666668, ""rolling_std"": 25.071627820743718, ""history_length"": 60}"
2025-12-14T06:01:33.884909+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0002336485084797909, ""long_vol"": 0.00017123543377548734, ""ratio"": 1.3644869132993553, ""rolling_mean"": 3112.204333333334, ""rolling_std"": 1.2525463781347477, ""history_length"": 60}"
2025-12-14T06:01:45.638627+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 7.187577482849062e-05, ""long_vol"": 6.997428687042174e-05, ""ratio"": 1.0271740955587023, ""rolling_mean"": 90173.10883333335, ""rolling_std"": 24.945113382517174, ""history_length"": 60}"
2025-12-14T06:01:45.638627+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00021996694939034638, ""long_vol"": 0.00017116294427733917, ""ratio"": 1.2851318392486226, ""rolling_mean"": 3112.218833333334, ""rolling_std"": 1.23109444441658, ""history_length"": 60}"
2025-12-14T06:01:57.566357+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 7.18757748284906e-05, ""long_vol"": 6.997428687042175e-05, ""ratio"": 1.0271740955587019, ""rolling_mean"": 90173.84800000001, ""rolling_std"": 24.794488575665135, ""history_length"": 60}"
2025-12-14T06:01:57.566357+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00021991431277476907, ""long_vol"": 0.0001707993566283595, ""ratio"": 1.2875593744376816, ""rolling_mean"": 3112.2363333333337, ""rolling_std"": 1.2031286427782184, ""history_length"": 60}"
2025-12-14T06:02:09.337643+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 7.187396149131908e-05, ""long_vol"": 6.99745161757846e-05, ""ratio"": 1.02714481527479, ""rolling_mean"": 90174.58700000001, ""rolling_std"": 24.62027497815535, ""history_length"": 60}"
2025-12-14T06:02:09.337643+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00022472573423771772, ""long_vol"": 0.0001717733505038688, ""ratio"": 1.308268911204921, ""rolling_mean"": 3112.2566666666676, ""rolling_std"": 1.1758973013306737, ""history_length"": 60}"
2025-12-14T06:02:21.265427+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 7.193045722253633e-05, ""long_vol"": 6.996893199977188e-05, ""ratio"": 1.0280342312895507, ""rolling_mean"": 90175.33083333333, ""rolling_std"": 24.425204285297543, ""history_length"": 60}"
2025-12-14T06:02:21.265427+00:00,ETHUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00022468025686925134, ""long_vol"": 0.00017097265802967144, ""ratio"": 1.3141297530173464, ""rolling_mean"": 3112.2770000000005, ""rolling_std"": 1.147653907554609, ""history_length"": 60}"
2025-12-14T06:02:33.026640+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010383270486639122, ""long_vol"": 8.986102193230116e-05, ""ratio"": 1.1554810153908104, ""rolling_mean"": 90176.73883333334, ""rolling_std"": 25.148173845596276, ""history_length"": 60}"
2025-12-14T06:02:45.075358+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010383380596868373, ""long_vol"": 8.986169752882069e-05, ""ratio"": 1.1554845815747234, ""rolling_mean"": 90178.14666666668, ""rolling_std"": 25.772479847971344, ""history_length"": 60}"
2025-12-14T06:02:56.841752+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010383490052545837, ""long_vol"": 8.986169752882069e-05, ""ratio"": 1.1554967620343046, ""rolling_mean"": 90179.55433333335, ""rolling_std"": 26.305719515136033, ""history_length"": 60}"
2025-12-14T06:03:08.788284+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0001038338063523764, ""long_vol"": 8.986136108656311e-05, ""ratio"": 1.1554889119958207, ""rolling_mean"": 90180.9621666667, ""rolling_std"": 26.753461622475623, ""history_length"": 60}"
2025-12-14T06:03:20.552070+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010949632626043982, ""long_vol"": 9.191725978163401e-05, ""ratio"": 1.1912488092069764, ""rolling_mean"": 90182.16966666668, ""rolling_std"": 26.798363216312755, ""history_length"": 60}"
2025-12-14T06:03:32.312333+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010949697592360695, ""long_vol"": 9.191725955218353e-05, ""ratio"": 1.1912558800933681, ""rolling_mean"": 90183.37700000002, ""rolling_std"": 26.7876706587567, ""history_length"": 60}"
2025-12-14T06:03:44.088460+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.0001094956823561528, ""long_vol"": 9.190724382664425e-05, ""ratio"": 1.191371624228923, ""rolling_mean"": 90184.58466666666, ""rolling_std"": 26.721531054954287, ""history_length"": 60}"
2025-12-14T06:03:56.043536+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010776279282871426, ""long_vol"": 9.190724361395563e-05, ""ratio"": 1.172516861471309, ""rolling_mean"": 90185.74683333332, ""rolling_std"": 26.66526792535654, ""history_length"": 60}"
2025-12-14T06:04:07.890161+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010826821238194538, ""long_vol"": 9.208260202776801e-05, ""ratio"": 1.175772730111346, ""rolling_mean"": 90186.86066666665, ""rolling_std"": 26.50041802463146, ""history_length"": 60}"
2025-12-14T06:04:19.811055+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796452104319919, ""long_vol"": 9.136199971334045e-05, ""ratio"": 1.1817223942333923, ""rolling_mean"": 90187.97433333332, ""rolling_std"": 26.286835035016715, ""history_length"": 60}"
2025-12-14T06:04:31.570260+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796452127566651, ""long_vol"": 9.136154486267319e-05, ""ratio"": 1.1817282800761468, ""rolling_mean"": 90188.93783333333, ""rolling_std"": 26.230823122171756, ""history_length"": 60}"
2025-12-14T06:04:43.330587+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796536291983482, ""long_vol"": 9.136199971036601e-05, ""ratio"": 1.1817316090070757, ""rolling_mean"": 90189.9013333333, ""rolling_std"": 26.138223680562778, ""history_length"": 60}"
2025-12-14T06:04:55.082559+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796452103966709, ""long_vol"": 9.136199971036601e-05, ""ratio"": 1.1817223942332047, ""rolling_mean"": 90190.86466666663, ""rolling_std"": 26.009236525372433, ""history_length"": 60}"
2025-12-14T06:05:07.029895+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796368537842092, ""long_vol"": 9.136177353794136e-05, ""ratio"": 1.1817161729416845, ""rolling_mean"": 90191.82816666664, ""rolling_std"": 25.843271785552297, ""history_length"": 60}"
2025-12-14T06:05:18.795884+00:00,BTCUSDT,vol_spike,,0.2.0,"{""short_vol"": 0.00010796452736195537, ""long_vol"": 9.136177339067425e-05, ""ratio"": 1.1817253907746044, ""rolling_mean"": 90192.79149999998, ""rolling_std"": 25.639287373753348, ""history_length"": 60}"
